Inventory
Id;title;subtitle;Authors;publisher;storingLocation;comment;;;;
4e6ec93835fe1ea3a3fafd25ed0d6ec9;TRILOGIE DER INDUKTIVEN BAUELEMENTE;APPLIKATIONSHANDBUCH für EMV-Filter, getaktete Stromversorgungen und HF-Schaltungen;WÜRTH ELEKTRONIK;;CrowdFarming Box 2;;;;;
2a74276baa967fca0f9dea7ed522e850;Netzrückwirkungen - Theorie, Simulation, Messung und Bewertung;nach DIN VDE 0838, DIN VDE 0839 und den VDEW-Richtlinien mit Simulationsbeispielen in Simplorer und Messbeispielen von netzgekoppelten Photovoltaik- und Windkraftanlagen;Detlef Schulz;VDE VERLAG;CrowdFarming Box 3;;;;;
c1c5e73548b160c49b8abce1731580ed;Regelung von Batteriestromrichtern in modularen und erweiterbaren Inselnetzen;;Alfred Engler;dissertation.de Verlag im Internet;CrowdFarming Box 3;;;;;
6d72680fe1a81ad959e0f5cd6236cb08;Stabilität;wechselrichtergeführter Inselnetze;Markus Jostock;Fortschrittsberichte Dezentrale Energiesysteme;CrowdFarming Box 3;;;;;
0fe6d27dd374e27fb6f3905c8449e4fe;Fundamentals of Power Electronics;Second Edition;Robert W. Brickson, Agam Maksimovic;KAP;CrowdFarming Box 3;;;;;
c49c9452a37c905b40a059ecec47e240;POWER SYSTEM DYNAMICS;Stability and Control;Jan Machowski, Janusz W. Bialek, James R. Bumby;Wiley;CrowdFarming Box 3;;;;;
b2cbaf0e2ffe27145918669a6235f58a;Embedded Linux;lernen mit dem Raspberry Pi;Jürgen Quade;dpunkt.verlag;CrowdFarming Box 3;;;;;
0d3382c117c0405b70ae10ac81646e22;Linux-Treiber entwickeln;Eine systematische Einführung in die Gerätetreiber- und Kernelprogrammierung;Jürgen Quade, Eva-Katharina Kunst;dpunkt.verlag;CrowdFarming Box 3;;;;;
5dca289ac1bfd3aa68690fc6a39e2615;Mastering Embedded Kernel Programming;Unleash the full potential of Embedded Linux with Linux 4.9 and Yocto Project 2.2 (Morty) Updates;Chris Simmonds;Packt;CrowdFarming Box 3;;;;;
186cd5f2562d007a30cd893667242b31;PHYSIKBUCH;Vom Big Bang zur Quantenauferstehung;Clifford A. Pickover;Librero;CrowdFarming Box 3;;;;;
bbd7f6c487c0037e507c9f1e042ff938;Der Termin;Ein Roman über Projektmanagement;Tom DeMarco;HANSER;CrowdFarming Box 3;;;;;
f51dcb356ab6be9e644f137672999481;Deception Point;;Dan Brown;;Weinkiste 4;;;;;
d7caf9cd514e0a4ea2f2f0bb20f96e0a;Das Verlorene Symbol;;Dan Brown;Bastei Lübbe;Weinkiste 4;;;;;
db47755757ba17955609a6b03c7b1834;Digital Fortress;;Dan Brown;;Weinkiste 4;;;;;
0724f6feed053c2c8af7fc7e8b553c8b;Origin;;Dan Brown;LÜBBE;Weinkiste 4;;;;;
4bbc7aed92adc93c1aaa33158cd222ab;INFERNO;;Dan Brown;Bastei Lübbe;Weinkiste 4;;;;;
d8691f2796a2f18ff4f914e4cf26ce2a;The Lost Symbol;;Dan Brown;;Weinkiste 4;;;;;
3e69f209cec68e5a4cbc4722fbd700de;Illuminati;;Dan Brown;Bastei Lübbe;Weinkiste 4;;;;;
10eab79f248c2557318365c9edbde5d0;Inferno;;Dan Brown;;Weinkiste 4;;;;;
37e4a239df0fb2bc31ff53d680d77c36;Sakrileg;The Da Vinci Code;Dan Brown;Bastei Lübbe;Weinkiste 4;;;;;
719ed82460ac2f463699e51909499187;Weniger schlecht Projekte managen;Ohne Krise zum Projekterfolg;Anne Schüßler, Peter Schüßler;O'Reilly;CrowdFarming Box 4;;;;;
bcc2bebc1c130311d44146af8d35c869;Weniger schlecht programmieren;;Kathrin Passig, Johannes Jander;O'Reilly;CrowdFarming Box 4;;;;;
290b6c9f4e6223bc618d4a4ca5896abd;Full Stack Testing;A Practical Guide for Delivering High Quality Software;Gayathri Mohan;O'Reilly Media;CrowdFarming Box 4;;;;;
ae58df266be96a0558d7618ccfaf917d;Spring Boot 2;Moderne Softwareentwicklung mit Spring 5;Michael Simons;dpunkt.verlag;CrowdFarming Box 4;;;;;
718923d0e2ae0f1cc24d709917d42c39;Sustainable Software Architecture;Analyze and Reduce Technical Debt;Carola Lilienthal;dpunkt.verlag;CrowdFarming Box 4;;;;;
1fa39c89aba7edb2e3cfdc25333821cc;Effektive Software-architekturen;Ein praktischer Leitfaden;gernot STARKE;HANSER;CrowdFarming Box 4;;;;;
8b65ac270f8d8ce54964c94facceb472;Clean Architecture;A Craftsman's Guide to Software Structure and Design;Robert C. Martin, James Grenning, Simon Brown;Prentice Hall;CrowdFarming Box 4;auch digital;;;;
5664a2bbcb6aeaa0d6a1592573d42ce4;Clean Code;Refactoring, Patterns, Testen und Techniken für sauberen Code;Robert C. Martin;mitp;CrowdFarming Box 4;auch digital;;;;
c04db5d573adc93d7fb6bcb3e98b6ca9;Five Lines of Code;Clean Code durch gezieltes Refactoring;Christian Clausen;Rheinwerk Computing;CrowdFarming Box 4;auch digital;;;;
c74c8b6af1bcbf8f530cec6dc3612cb5;Basiswissen Requirements Engineering;Aus- und Weiterbildung nach IREB-Standard zum Certified Professional for Requirements Engineering Foundation Level;Klaus Pohl, Chris Rupp;dpunkt.verlag;CrowdFarming Box 4;;;;;
69fdce055cf31e0f70a1e2c6965d1c7f;Embedded Linux mit Raspberry Pi und Co.;;Ralf Jesse;mitp;CrowdFarming Box 4;;;;;
f7d35a81348672bea7197b28cc40f990;Grundkurs Software-Engineering mit UML;Der pragmatische Weg zu erfolgreichen Softwareprojekten;Stephan Kleuker;Springer Vieweg;CrowdFarming Box 4;;;;;
c1830b90e9bfa016ed549adcd4f4ed02;Dynamical Systems with Applications using Python;;Stephen Lynch;Birkhäuser;CrowdFarming Box 4;;;;;
89180174e47d26ded7c072fc3848f8c6;TWO. SCOOPS of- DJANGO 1.11;Best Practices for the Django Web Framework;Daniel Roy Greenfeld, Audrey Roy Greenfeld;;CrowdFarming Box 4;;;;;
